Name,Category,Sub Category,Rate,Tax,Product Group 1,Product Group 2,Product Group 3
65 - Babycorn,Appetizers,Veg,170,GST 5%,65,Indian,Babycorn
65 - Chicken,Appetizers,Non Veg,180,GST 5%,65,Indian,Chicken
65 - Egg,Appetizers,Non Veg,100,GST 5%,65,Indian,Egg
65 - Fish,Appetizers,Non Veg,270,GST 5%,65,Indian,Fish
65 - Gobi,Appetizers,Veg,160,GST 5%,65,Indian,Gobi
65 - Mushroom,Appetizers,Veg,160,GST 5%,65,Indian,Mushroom
65 - Paneer,Appetizers,Veg,170,GST 5%,65,Indian,Paneer
65 - Prawn,Appetizers,Non Veg,270,GST 5%,65,Indian,Prawn
Aloo Capsicum,Curries,Veg,120,GST 5%,,Indian,Aloo
Aloo Gobi Masala,Curries,Veg,190,GST 5%,,Indian,Aloo
Aloo Jeera,Curries,Veg,120,GST 5%,,Indian,Aloo
Aloo Matar,Curries,Veg,190,GST 5%,,Indian,Aloo
Aloo Paneer Masala,Curries,Veg,210,GST 5%,,Indian,Aloo
American Chopsey - Chicken,Noodles,Non Veg,290,GST 5%,,Chinese,Chicken
American Chopsey - Veg,Noodles,Veg,260,GST 5%,,Chinese,
Apple Juice,Beverages,Fresh Juice,80,GST 5%,,Indian,
Apple Pie,Desserts,Pastry,90,GST 5%,,Continental,
Apple Pie with Icecream,Desserts,Pastry,125,GST 5%,,Continental,
Appuchi Chicken,Appetizers,Non Veg,240,GST 5%,,Indian,Chicken
Arabian Delight - I/C - Regular,Desserts,Icecreams,120,GST 5%,,Indian,
Arabian Delight - I/C - Single,Desserts,Icecreams,60,GST 5%,,Indian,
Arabian Delight M/S,Beverages,Milkshakes,150,GST 5%,,Indian,
Assorted Veg Platter,Appetizers,Veg,380,GST 5%,,Continental,
Authentic Soup - Chicken,Soups,Non Veg,100,GST 5%,Authentic Soup,Indian,Chicken
Authentic Soup - Mutton,Soups,Non Veg,120,GST 5%,Authentic Soup,Indian,Mutton
Authentic Soup - Tomato,Soups,Veg,80,GST 5%,Authentic Soup,Indian,Tomato
Authentic Soup - Veg,Soups,Veg,90,GST 5%,Authentic Soup,Indian,
Baked Vegetables,Appetizers,Veg,160,GST 5%,,Continental,
BBQ Chicken Grilled Sandwich,Sandwiches,Non Veg,130,GST 5%,,Continental,Chicken
BBQ Chicken Pizza - Large,Pizzas,Non Veg,380,GST 5%,BBQ Chicken Pizza,Continental,Chicken
BBQ Chicken Pizza - Regular,Pizzas,Non Veg,280,GST 5%,BBQ Chicken Pizza,Continental,Chicken
BBQ Prawns with Roast Chilli Salsa,Appetizers,Barbecue,200,GST 5%,,Continental,Prawns
Bhurji - Egg,Appetizers,Non Veg,130,GST 5%,,Indian,Egg
Bhurji - Paneer,Appetizers,Veg,130,GST 5%,Bhurji,Indian,Paneer
Bindi Kadai,Curries,Veg,110,GST 5%,,Indian,
Bindi Masala,Curries,Veg,110,GST 5%,,Indian,
Black Coffee,Beverages,Hot,15,GST 5%,,Indian,Coffee
Black Tea,Beverages,Hot,15,GST 5%,,Indian,
Blackcurrent - I/C - Regular,Desserts,Icecreams,100,GST 5%,,Indian,
Blackcurrent - I/C - Single,Desserts,Icecreams,50,GST 5%,,Indian,
Blackcurrent M/S,Beverages,Milkshakes,140,GST 5%,,Indian,
Boiled Egg - 2 Pieces,Appetizers,Non Veg,30,GST 5%,,Indian,Tea
Bone Chicken Biryani,Main Course,Biryanis,140,GST 5%,,Indian,Tea
Bread Butter Jam Toast,Sandwiches,Veg ,80,GST 5%,,Continental,
Bread Omlette,Sandwiches,Non Veg,110,GST 5%,,Continental,Egg
Breads - Aloo Kulcha,Main Course,Indian Breads,130,GST 5%,,Indian,Aloo
Breads - Aloo Paratha,Main Course,Indian Breads,130,GST 5%,,Indian,Aloo
Breads - Butter Kulcha,Main Course,Indian Breads,60,GST 5%,,Indian,
Breads - Butter Naan,Main Course,Indian Breads,60,GST 5%,,Indian,
Breads - Butter Roti,Main Course,Indian Breads,60,GST 5%,,Indian,
Breads - Garlic Naan,Main Course,Indian Breads,70,GST 5%,,Indian,
Breads - Gobi Paratha,Main Course,Indian Breads,120,GST 5%,,Indian,Gobi
Breads - Kulcha,Main Course,Indian Breads,50,GST 5%,,Indian,
Breads - Naan,Main Course,Indian Breads,45,GST 5%,,Indian,
Breads - Paneer Kulcha,Main Course,Indian Breads,140,GST 5%,,Indian,
Breads - Paneer Paratha,Main Course,Indian Breads,140,GST 5%,,Indian,Paneer
Breads - Tandoori Roti,Main Course,Indian Breads,50,GST 5%,Tandoori,Indian,
Brownie,Desserts,Pastry,140,GST 5%,,Continental,
Brownie Sizzlers,Desserts,Pastry,260,GST 5%,Sizzlers,Continental,
Brownie with Icecream,Desserts,Pastry,180,GST 5%,,Continental,
Bruschetta,Appetizers,Veg,220,GST 5%,,Continental,
Butter Chicken Masala,Curries,Non Veg,270,GST 5%,Butter,Indian,Chicken
Buttermilk,Beverages,Cold,40,GST 5%,,Indian,
Butterscotch - I/C - Regular,Desserts,Icecreams,90,GST 5%,,Indian,
Butterscotch - I/C - Single,Desserts,Icecreams,45,GST 5%,,Indian,
Butterscotch M/S,Beverages,Milkshakes,130,GST 5%,,Indian,
Caramel Blast,Beverages,Milkshakes,190,GST 5%,,Indian,
Caribbean Chicken,Appetizers,Barbecue,170,GST 5%,,Continental,Chicken
Cashew Pulao,Main Course,Rice Varieties,130,GST 5%,,Indian,
Channa Masala,Curries,Veg,100,GST 5%,,Indian,
Chapati,Main Course,Indian Breads,25,GST 5%,,Indian,
Cheese Garlic Bread,Appetizers,Veg,140,GST 5%,,Continental,
Chef's Delight Atta Roll - Chicken,Kick Grass Specials,Non Veg,160,GST 5%,,Indian,Chicken
Chef's Delight Atta Roll - Veg,Kick Grass Specials,Veg,140,GST 5%,,Indian,
Chettinadu Chicken Masala,Curries,Non Veg,240,GST 5%,Chettinadu,Indian,Chicken
Chettinadu Fry - Chicken,Appetizers,Non Veg,150,GST 5%,Chettinadu Fry,Indian,Chicken
Chettinadu Fry - Fish,Appetizers,Non Veg,180,GST 5%,Chettinadu Fry,Indian,Fish
Chettinadu Fry - Nandu Vadai,Appetizers,Non Veg,200,GST 5%,Chettinadu Fry,Indian,Crab
Chettinadu Fry - Prawn,Appetizers,Non Veg,180,GST 5%,Chettinadu Fry,Indian,Prawns
Chettinadu Kari Varuval,Appetizers,Non Veg,190,GST 5%,,Indian,Mutton
Chettinadu Muttai Kulambu,Curries,Non Veg,130,GST 5%,,Indian,Egg
Chicken Biryani,Main Course,Biryanis,230,GST 5%,,Indian,Chicken
Chicken Burger,Burgers,Non Veg,190,GST 5%,,,
Chicken Burger - Double Patty,Burgers,Non Veg,300,GST 5%,,,
Chicken Cheese Sandwich,Sandwiches,Non Veg,190,GST 5%,,Continental,Chicken
Chicken Classic - Large,Pizzas,Non Veg,360,GST 5%,Chicken Classic,Continental,Chicken
Chicken Classic - Medium,Pizzas,Non Veg,200,GST 5%,Chicken Classic,Continental,Chicken
Chicken Classic - Regular,Pizzas,Non Veg,260,GST 5%,Chicken Classic,Continental,Chicken
Chicken Club Sandwich,Sandwiches,Non Veg,140,GST 5%,,Continental,Chicken
Chicken Kalmi Kebab,Appetizers,Non Veg,190,GST 5%,,Indian,Chicken
Chicken Keema Dosa,Dosas,Non Veg,130,GST 5%,,Indian,Chicken
Chicken Kola Urundai - 5 Pieces,Dosas,Non Veg,160,GST 5%,,Indian,Chicken
Chicken Koththu Kari Dosa,Dosas,Non Veg,120,GST 5%,,Indian,Chicken
Chicken Kurma,Dosas,Non Veg,150,GST 5%,,Indian,Chicken
Chicken Lasagna,Dosas,Non Veg,170,GST 5%,Lasagna,Continental,Chicken
Chicken Lollypop - 5 Pieces,Dosas,Non Veg,230,GST 5%,Fried,Continental,Chicken
Chicken Makhani,Rolls,Non Veg,130,GST 5%,,Indian,Chicken
Chicken Mushroom Pie,Dosas,Non Veg,120,GST 5%,,Continental,Chicken
Chicken Nesamani,Dosas,Non Veg,240,GST 5%,,Continental,Chicken
Chicken Nizam,Dosas,Non Veg,150,GST 5%,,Indian,Chicken
Chicken Pallipalayam,Dosas,Non Veg,230,GST 5%,,Indian,Chicken
Chicken Pasta - Red,Pastas,Non Veg,290,GST 5%,,Continental,Chicken
Chicken Pasta - Red & White,Pastas,Non Veg,290,GST 5%,,Continental,Chicken
Chicken Pasta - White,Pastas,Non Veg,290,GST 5%,,Continental,Chicken
Chicken Pizza - Large,Pizzas,Non Veg,360,GST 5%,Chicken Pizza,Continental,Chicken
Chicken Pizza - Regular,Pizzas,Non Veg,260,GST 5%,Chicken Pizza,Continental,Chicken
Chicken Pizza - Regular,Pizzas,Non Veg,220,GST 5%,Chicken Pizza,Continental,Chicken
Chicken Pulao,Main Course,Rice Varieties,220,GST 5%,,Indian,Chicken
Chicken Roll,Rolls,Non Veg,160,GST 5%,,Indian,Chicken
Chicken Salt & Pepper,Appetizers,Non Veg,240,GST 5%,Salt & Pepper,Continental,Chicken
Chicken Sandwich,Sandwiches,Non Veg,170,GST 5%,,Continental,Chicken
Chicken Sheek Roll,Rolls,Non Veg,120,GST 5%,,Indian,Chicken
Chicken Sizzlers,Sizzlers,Non Veg,350,GST 5%,,Continental,Chicken
Chicken Spring Roll,Appetizers,Non Veg,190,GST 5%,Fried,Continental,Chicken
Chicken Sticks,Appetizers,Non Veg,250,GST 5%,Fried,Continental,Chicken
Chicken Suicide Bombs,Appetizers,Non Veg,240,GST 5%,,Continental,Chicken
Chicken Supreme Pizza - Large,Pizzas,Non Veg,520,GST 5%,Chicken Supreme Pizza,Continental,Chicken
Chicken Supreme Pizza - Regular,Pizzas,Non Veg,280,GST 5%,Chicken Supreme Pizza,Continental,Chicken
Chicken Supreme Pizza - Small,Pizzas,Non Veg,380,GST 5%,Chicken Supreme Pizza,Continental,Chicken
Chicken Tangri Kebab - 1 Piece,Appetizers,Non Veg,130,GST 5%,,Indian,Chicken
Chicken Tikka,Appetizers,Non Veg,240,GST 5%,Tandoori,Indian,Chicken
Chicken Tikka Biryani,Main Course,Biryanis,250,GST 5%,,Indian,Chicken
Chicken Tikka Dosa,Dosas,Non Veg,130,GST 5%,,Indian,Chicken
Chicken Tikka Masala,Curries,Non Veg,260,GST 5%,,Indian,Chicken
Chicken Tikka Roll,Rolls,Non Veg,180,GST 5%,,Indian,Chicken
Chilli - Babycorn,Appetizers,Veg,190,GST 5%,Chilli,,
Chilli - Chicken,Appetizers,Non Veg,210,GST 5%,Chilli,Chinese,Chicken
Chilli - Crab Podimas,Appetizers,Non Veg,280,GST 5%,Chilli,Chinese,Crab
Chilli - Egg,Appetizers,Non Veg,120,GST 5%,Chilli,Chinese,Egg
Chilli - Fish,Appetizers,Non Veg,280,GST 5%,Chilli,Chinese,Fish
Chilli - Gobi,Appetizers,Veg,180,GST 5%,Chilli,,
Chilli - Mushroom,Appetizers,Veg,180,GST 5%,Chilli,,
Chilli - Paneer,Appetizers,Veg,190,GST 5%,Chilli,,
Chilli - Prawn,Appetizers,Non Veg,280,GST 5%,Chilli,Chinese,Prawns
Chilli Cheese Toast,Sandwiches,Veg ,140,GST 5%,,Continental,
Chilli Chicken,Appetizers,Non Veg,120,GST 5%,Chilli,Indian,Chicken
